symbol,title,ambiguous_ticker,ambiguous_title
hog,"harley-davidson,",True,False
kodk,eastman,False,False
dtg,dollar,False,True
car,avis,True,True
atls,atlas,False,True
holx,hologic,False,False
m,"macy's,",True,False
rth,market,False,True
wmt,walmart,False,False
emis,emisphere,False,False
kndi,kandi,False,False
ewy,ishares,False,False
synm,syntroleum,False,False
upro,proshares,False,False
wnr,western,False,True
onty,oncothyreon,False,False
pcln,priceline,False,False
ego,eldorado,True,False
simg,silicon,False,True
trid,trident,False,True
cngl,china,False,True
ebay,ebay,False,False
exxi,energy,False,True
entr,entropic,False,False
ands,anadys,False,False
bucy,bucyrus,False,False
isph,inspire,False,True
nke,nike,False,False
uaa,under,False,True
gdx,vaneck,False,False
xme,spdr,False,False
agu,agrium,False,False
mon,monsanto,True,False
aob,american,False,True
algn,align,False,True
ivan,ivanhoe,True,False
trq,turquoise,False,True
pwav,powerwave,False,False
rvbd,riverbed,False,False
dbc,powershares,False,False
jjc,ipath,False,False
kol,vaneck,True,False
slx,market,False,True
xsd,spdr,False,False
wal,western,False,True
coco,corinthian,True,True
lgnd,ligand,False,False
azo,autozone,True,False
catm,cardtronics,False,False
azc,augusta,False,True
apd,air,False,True
ipi,intrepid,False,True
arst,"arcsight,",False,False
tstc,telestone,False,False
apa,apache,True,True
apc,anadarko,False,False
eog,eog,False,False
zolt,zoltek,False,False
swn,southwestern,False,True
hele,helen,True,True
vip,vimpelcom,True,False
cycc,cyclacel,False,False
uthr,united,False,True
btu,peabody,False,False
clf,cliffs,False,False
nok,nokia,False,False
lpl,lg,False,False
dgly,digital,False,True
aol,"aol,",False,False
bolt,bolt,True,True
tmrk,terremark,False,False
zoom,zoom,True,True
cdii,china,False,True
micc,millicom,False,False
apl,atlas,False,True
ism,slm,True,False
rig,transocean,True,True
arun,aruba,False,False
nue,nucor,False,False
dxd,proshares,False,False
egle,eagle,False,True
gnk,genco,False,False
nm,navios,False,False
cml,compellent,False,True
pmi,pmi,False,False
bgc,general,False,True
meli,"mercadolibre,",False,False
symc,symantec,False,False
lsi,lsi,False,False
bexp,brigham,False,False
hk,halcon,False,False
xco,exco,False,False
tot,total,True,True
asbc,associated,False,True
qtm,quantum,False,True
athx,"athersys,",False,False
ffiv,f5,False,False
nmr,nomura,False,False
uwm,proshares,False,False
sol,renesola,True,False
dbv,powershares,False,False
