word,emotion,emojis
rouse,happy,False
rousing,happy,False
run again,happy,False
run back up,happy,False
runner,happy,False
running up,happy,False
runs up,happy,False
salvage,happy,False
sanctify,happy,False
satisfaction,happy,False
satisfied,happy,False
savor,happy,False
savour,happy,False
sexy,happy,False
shabby,happy,False
shining,happy,False
shooting up,happy,False
shortsqueeze,happy,False
should recover,happy,False
sit back,happy,False
sky rocket,happy,False
sky rocketing,happy,False
sky rockets,happy,False
skyrocket,happy,False
skyrocketing,happy,False
skyrockets,happy,False
smasher,happy,False
smashing,happy,False
smile,happy,False
smiling,happy,False
soar,happy,False
soaring,happy,False
spiked,happy,False
splendid,happy,False
splendiferous,happy,False
stoked,happy,False
strong up,happy,False
success,happy,False
superb,happy,False
superbia,happy,False
supercilious,happy,False
